Natural_Products_Name,NP_MRD_ID,SMILES,MW,LogP,HBD,HBA,TPSA,RotBonds,FractionCSP3,Cluster_ID
"(6e)-10-methyl-15-methylidene-5,14-dioxo-4,13-dioxatricyclo[10.3.0.0³,⁶]pentadeca-6,10-dien-2-yl 2-methylbut-2-enoate",NP0288446,CC=C(C)C(=O)OC1C2OC(=O)\C2=C\CCC(C)=CC2OC(=O)C(=C)C12,358.39,2.55,0,6,78.9,2,0.45,0
"8-(acetyloxy)-4,9-dimethyl-14-methylidene-13-oxo-5,12-dioxatricyclo[9.3.0.0⁴,⁶]tetradec-9-en-2-yl 2-(hydroxymethyl)but-2-enoate",NP0158366,CC=C(CO)C(=O)OC1CC2(C)OC2CC(OC(C)=O)C(C)=CC2OC(=O)C(=C)C12,420.46,1.76,1,8,111.66,4,0.59,1
"(3ar,4r,9s,11as)-9-(acetyloxy)-6,10-dimethyl-3-methylidene-2-oxo-3ah,4h,5h,8h,9h,11ah-cyclodeca[b]furan-4-yl (2z)-4-hydroxy-2-(hydroxymethyl)but-2-enoate",NP0284644,CC(=O)O[C@H]1C\C=C(C)\C[C@@H](OC(=O)C(\CO)=C/CO)[C@@H]2[C@@H](OC(=O)C2=C)\C=C1\C,420.46,1.53,2,8,119.36,5,0.5,2
"(3ar,4r,8s,11ar)-8-hydroxy-6,10-dimethyl-3-methylidene-2-oxo-3ah,4h,5h,8h,9h,11ah-cyclodeca[b]furan-4-yl (2z)-2-(hydroxymethyl)but-2-enoate",NP0238794,C\C=C(\CO)C(=O)O[C@@H]1C\C(C)=C/[C@@H](O)C\C(C)=C/[C@H]2OC(=O)C(=C)[C@H]12,362.42,1.98,2,6,93.06,3,0.5,3
"9-hydroxy-6,10-dimethyl-3-methylidene-2-oxo-3ah,4h,5h,8h,9h,11ah-cyclodeca[b]furan-4-yl 2-[(acetyloxy)methyl]-4-hydroxybut-2-enoate",NP0310049,CC(=O)OCC(=CCO)C(=O)OC1CC(C)=CCC(O)C(C)=CC2OC(=O)C(=C)C12,420.46,1.53,2,8,119.36,5,0.5,4
"(1r,3s,7r,8s,9r)-9-hydroxy-1-methyl-6,10-dimethylidene-5,13-dioxo-4,14-dioxatricyclo[9.2.1.0³,⁷]tetradec-11-en-8-yl (2z)-2-methylbut-2-enoate",NP0264711,C\C=C(\C)C(=O)O[C@H]1[C@H]2[C@H](C[C@@]3(C)OC(=CC3=O)C(=C)[C@H]1O)OC(=O)C2=C,374.39,1.52,1,7,99.13,2,0.45,5
"(3aR,4R,6E,10E,11aR)-10-[(Acetyloxy)methyl]-6-formyl-2,3,3a,4,5,8,9,11a-octahydro-3-methylene-2-oxocyclodeca[b]furan-4-yl ester 2-methylbutanoic acid",NP0058462,CC[C@@H](C)C(=O)O[C@@H]1C\C(C=O)=C/CC\C(COC(C)=O)=C/[C@@H]2OC(=O)C(=C)[C@H]12,404.46,2.84,0,7,95.97,6,0.55,6
Fargesin,NP0137248,COC1=CC=C(C=C1OC)C1OCC2C1COC2C1=CC=C2OCOC2=C1,370.4,3.51,0,6,55.38,4,0.43,7
"4-[(3ar,6as)-4-(3,4-dimethoxyphenyl)-hexahydrofuro[3,4-c]furan-1-yl]-2-methoxyphenol",NP0262069,COC1=CC=C(C=C1OC)C1OC[C@@H]2[C@@H]1COC2C1=CC=C(O)C(OC)=C1,372.42,3.49,1,6,66.38,5,0.43,8
"(1r,4e,6r,7r,17r)-4-ethylidene-6,7-dimethyl-3,8-dioxo-2,9-dioxa-14-azatricyclo[9.5.1.0¹⁴,¹⁷]heptadec-11-en-7-yl acetate",NP0189431,C\C=C1/C[C@@H](C)[C@@](C)(OC(C)=O)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@@H]23,377.44,1.76,0,7,82.14,1,0.65,9
Acutifolidine,NP0069531,COC1=C(OC)C(OC)=C2C[C@@H]3N(C)CCC4=CC(O)=C(OC)C(C2=C1)=C34,371.43,3.18,1,6,60.39,4,0.43,10
9-Hydroxyglabratolide,NP0058451,CC(C)C(=O)O[C@H]1[C@H]2[C@@H](OC(=O)C2=C)\C=C(C)\CC\C=C(C=O)/[C@@H]1O,348.4,1.88,1,6,89.9,3,0.53,11
"(1r,2z,4r,8r,9r,11s,13s)-13-(acetyloxy)-1-hydroxy-2,11-dimethyl-7-methylidene-6-oxo-5,14-dioxatricyclo[9.2.1.0⁴,⁸]tetradec-2-en-9-yl (2r)-2-methylbutanoate",NP0236964,CC[C@@H](C)C(=O)O[C@@H]1C[C@@]2(C)C[C@H](OC(C)=O)[C@](O)(O2)\C(C)=C/[C@H]2OC(=O)C(=C)[C@H]12,422.47,2.19,1,8,108.36,4,0.68,12
"(1s,2s,4s,10r,14r,15r)-14-hydroxy-4,8,12-trimethyl-16-methylidene-17-oxo-3,18-dioxatricyclo[13.3.0.0²,⁴]octadeca-7,11-dien-10-yl acetate",NP0211948,CC(=O)O[C@@H]1CC(C)=CCC[C@]2(C)O[C@H]2[C@H]2OC(=O)C(=C)[C@@H]2[C@H](O)CC(C)=C1,390.48,3.0,1,6,85.36,1,0.64,13
"(3s,4s)-4-(2h-1,3-benzodioxol-5-ylmethyl)-3-[(7-methoxy-2h-1,3-benzodioxol-5-yl)methyl]oxolan-2-one",NP0145936,COC1=CC(C[C@H]2[C@H](CC3=CC=C4OCOC4=C3)COC2=O)=CC2=C1OCO2,384.38,2.73,0,7,72.45,5,0.38,14
"4-hydroxy-6,10-dimethyl-3-methylidene-2-oxo-3ah,4h,5h,8h,9h,11ah-cyclodeca[b]furan-9-yl acetate",NP0218517,CC(=O)OC1CC=C(C)CC(O)C2C(OC(=O)C2=C)C=C1C,306.36,2.06,1,5,72.83,1,0.53,15
"(3ar,4r,9r,11ar)-6-formyl-9-hydroxy-10-methyl-3-methylidene-2-oxo-3ah,4h,5h,8h,9h,11ah-cyclodeca[b]furan-4-yl (2r)-2-methylbutanoate",NP0182536,CC[C@@H](C)C(=O)O[C@@H]1C\C(C=O)=C/C[C@@H](O)\C(C)=C/[C@H]2OC(=O)C(=C)[C@H]12,362.42,2.27,1,6,89.9,4,0.55,16
"(9s,10s)-9-(acetyloxy)-8,8-dimethyl-2-oxo-9h,10h-pyrano[2,3-h]chromen-10-yl (2z)-2-methylbut-2-enoate",NP0211243,C\C=C(\C)C(=O)O[C@@H]1[C@H](OC(C)=O)C(C)(C)OC2=CC=C3C=CC(=O)OC3=C12,386.4,3.45,0,7,92.04,3,0.38,17
"(1r,2z,4s,8r,9r,11s)-1-ethoxy-2-(hydroxymethyl)-11-methyl-7-methylidene-6-oxo-5,14-dioxatricyclo[9.2.1.0⁴,⁸]tetradec-2-en-9-yl (2z)-2-methylbut-2-enoate",NP0259718,CCO[C@@]12CC[C@@](C)(C[C@@H](OC(=O)C(\C)=C/C)[C@@H]3[C@@H](OC(=O)C3=C)\C=C1\CO)O2,406.48,2.59,1,7,91.29,5,0.64,18
