ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
5,"Nitric oxide synthase, inducible",NOS2,292242.0,L09210,P35228,NOS2_HUMAN,1NSI; 2LL6; 2NSI; 3E7G; 3EJ8; 3HR4; 4CX7; 4NOS; 5TP6; 5XN3; 6JWM; 6JWN; 6KEY,NOS2,NOS2A,HGNC:7873,Humans,DB00125; DB00155; DB00244; DB01017; DB01110; DB01234; DB01381; DB01686; DB01835; DB01997; DB02044; DB02207; DB02234; DB02335; DB02462; DB02644; DB03100; DB03144; DB03305; DB03366; DB03449; DB03910; DB03953; DB04400; DB04534; DB05214; DB05252; DB05383; DB05631; DB06879; DB06916; DB07002; DB07003; DB07007; DB07008; DB07011; DB07029; DB07306; DB07318; DB07388; DB07389; DB07405; DB08214; DB08750; DB08814; DB09237; DB11327; DB11672; DB12237; DB12648; DB12651; DB14649; DB18267; DB20033
9,Alcohol dehydrogenase class-3,ADH5,178134.0,M30471,P11766,ADHX_HUMAN,1M6H; 1M6W; 1MA0; 1MC5; 1MP0; 1TEH; 2FZE; 2FZW; 3QJ5; 8GV3,ADH5,ADH5,HGNC:253,Humans,DB00157; DB03017; DB03704; DB04153
10,"Aminomethyltransferase, mitochondrial",AMT,391721.0,D13811,P48728,GCST_HUMAN,1WSR; 1WSV,AMT,AMT,HGNC:473,Humans,DB00116; DB00157; DB04789
11,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",IDH3A,706839.0,U07681,P50213,IDH3A_HUMAN,5GRE; 5GRF; 5GRH; 5GRI; 5GRL; 5YVT; 6KDE; 6KDF; 6KDY; 6KE3; 6L57; 6L59; 7CE3; 8GRB; 8GRD; 8GRG; 8GRH; 8GRU; 8GS5,IDH3A,IDH3A,HGNC:5384,Humans,DB00157; DB06757; DB09092; DB09130; DB13874; DB17097
14,Tyrosine-protein kinase ABL1,ABL1,28237.0,X16416,P00519,ABL1_HUMAN,1AB2; 1AWO; 1BBZ; 1JU5; 1OPL; 1ZZP; 2ABL; 2E2B; 2F4J; 2FO0; 2G1T; 2G2F; 2G2H; 2G2I; 2GQG; 2HIW; 2HYY; 2HZ0; 2HZ4; 2HZI; 2O88; 2V7A; 3CS9; 3EG0; 3EG1; 3EG2; 3EG3; 3EGU; 3K2M; 3PYY; 3QRI; 3QRJ; 3QRK; 3T04; 3UE4; 3UYO; 4J9B; 4J9C; 4J9D; 4J9E; 4J9F; 4J9G; 4J9H; 4J9I; 4JJB; 4JJC; 4JJD; 4TWP; 4WA9; 4XEY; 4YC8; 4ZOG; 5DC0; 5DC4; 5DC9; 5HU9; 5MO4; 5NP2; 5OAZ; 6AMV; 6AMW; 6BL8; 6NPE; 6NPU; 6NPV; 6XR6; 6XR7; 6XRG; 7CC2; 7DT2; 7N9G; 7PVQ; 7PVR; 7PVS; 7PVV; 7PW2; 7W7X; 7W7Y; 8H7F; 8H7H; 8I7S; 8I7T; 8I7Z; 8SSN,ABL1,ABL1,HGNC:76,Humans,DB00171; DB00619; DB01254; DB03878; DB04868; DB05184; DB06616; DB06626; DB07831; DB08043; DB08052; DB08231; DB08339; DB08350; DB08583; DB08896; DB08901; DB11805; DB11904; DB12010; DB12267; DB12323; DB12597; DB13005; DB14989
17,Prostaglandin G/H synthase 1,PTGS1,387018.0,M31822,P23219,PGH1_HUMAN,6Y3C,PTGS1,PTGS1,HGNC:9604,Humans,DB00154; DB00159; DB00233; DB00244; DB00316; DB00328; DB00350; DB00461; DB00465; DB00469; DB00500; DB00554; DB00573; DB00586; DB00605; DB00711; DB00712; DB00749; DB00784; DB00788; DB00795; DB00812; DB00814; DB00821; DB00861; DB00870; DB00936; DB00939; DB00945; DB00963; DB00991; DB01009; DB01014; DB01050; DB01283; DB01397; DB01399; DB01401; DB01419; DB01435; DB01600; DB01837; DB01892; DB02047; DB02110; DB02198; DB02266; DB02379; DB02709; DB02773; DB03667; DB03752; DB03753; DB03756; DB03783; DB04552; DB04557; DB04817; DB04828; DB05409; DB06682; DB06725; DB06736; DB06802; DB07477; DB07981; DB07983; DB07984; DB08814; DB08951; DB08981; DB09061; DB09084; DB09212; DB09213; DB09214; DB09215; DB09216; DB09285; DB09288; DB09295; DB11071; DB11079; DB11085; DB11201; DB11323; DB11672; DB12039; DB12150; DB12354; DB12445; DB13308; DB13346; DB13501; DB13783; DB14009; DB14011; DB14086; DB16088; DB16159; DB16877; DB16950; DB18267; DB19283; DB19479; DB20457; DB20690; DB21002; DB21176
27,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",NDUFV3,6002197.0,X99726,P56181,NDUV3_HUMAN,5XTB; 5XTD; 5XTH; 5XTI,NDUFV3,NDUFV3,HGNC:7719,Humans,DB00157; DB09270
28,"Phenylalanine--tRNA ligase, mitochondrial",FARS2,3983103.0,AF097441,O95363,SYFM_HUMAN,3CMQ; 3HFV; 3TEG; 3TUP; 5MGH; 5MGU; 5MGV; 5MGW; 8P8X,FARS2,FARS2,HGNC:21062,Humans,DB00120
32,Dehydrogenase/reductase SDR family member 4,DHRS4,4105190.0,AF044127,Q9BTZ2,DHRS4_HUMAN,3O4R,DHRS4,DHRS4,HGNC:16985,Humans,DB00162
36,RAF proto-oncogene serine/threonine-protein kinase,RAF1,35842.0,X03484,P04049,RAF1_HUMAN,1C1Y; 1FAQ; 1FAR; 1GUA; 1RFA; 3CU8; 3IQJ; 3IQU; 3IQV; 3KUC; 3KUD; 3NKX; 3O8I; 3OMV; 4FJ3; 4G0N; 4G3X; 4IEA; 4IHL; 6NTC; 6NTD; 6PTS; 6PTW; 6VJJ; 6XGU; 6XGV; 6XHA; 6XHB; 6XI7; 7JHP; 7Z37; 7Z38; 8A68; 8A6F; 8A6H; 8ATR; 8ATS; 8AV0; 8CHF; 8CPD; 8EPW; 8GAE; 8GFT; 8JOF; 8JOG; 8S42; 8T74; 8T75; 8U1L; 9AXA; 9AXC; 9AY7; 9AYA,RAF1,RAF1,HGNC:9829,Humans,DB00398; DB04367; DB04973; DB05190; DB05268; DB08862; DB08896; DB08912; DB11718; DB12010; DB12094; DB15254; DB15266; DB17568; DB18865
