pair_id,pair_index,drugbank_id,uniprot_id,affinity_pred_value,affinity_probability_binary,affinity_pred_value1,affinity_probability_binary1,affinity_pred_value2,affinity_probability_binary2,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde
1_DB00014_P30968,1,DB00014,P30968,-1.7890651226043701,0.7491289377212524,-1.3017088174819946,0.7670908570289612,-2.276421308517456,0.7311670780181885,0.7725368738174438,0.9131377339363098,0.9008411169052124,0.9008411169052124,0.0,0.7404607534408569,0.5524573922157288,0.6959373354911804,1.4098711013793945
2_DB00035_P37288,2,DB00035,P37288,-1.307167649269104,0.5052218437194824,-0.24340328574180603,0.37252673506736755,-2.370932102203369,0.6379169821739197,0.7363858222961426,0.7805586457252502,0.8938966989517212,0.8938966989517212,0.0,0.6970080733299255,0.723307728767395,1.2187516689300537,2.177755117416382
3_DB00035_P47901,3,DB00035,P47901,-1.2685052156448364,0.5676978826522827,-0.020910892635583878,0.4185608923435211,-2.516099452972412,0.7168348431587219,0.7035565376281738,0.7492379546165466,0.8186448216438293,0.8186448216438293,0.0,0.6747844815254211,0.6029635667800903,1.3602235317230225,2.6776726245880127
4_DB00035_P30518,4,DB00035,P30518,-1.8540323972702026,0.5128634572029114,-1.032867193222046,0.4234706163406372,-2.6751976013183594,0.6022562980651855,0.7911266684532166,0.8459942936897278,0.9309946894645691,0.9309946894645691,0.0,0.7561596035957336,0.7223182320594788,0.8035581111907959,1.7852314710617065
8_DB00178_P46663,8,DB00178,P46663,-0.11016955226659775,0.6490143537521362,-0.1297454982995987,0.8040642738342285,-0.0905936062335968,0.4939644932746887,0.8652330636978149,0.9139987826347351,0.9629198312759399,0.9629198312759399,0.0,0.8408113718032837,0.7531774044036865,0.4697723686695099,0.7843149304389954
9_DB00181_Q9UBS5,9,DB00181,Q9UBS5,1.3496267795562744,0.856360912322998,0.7618726491928101,0.9426528215408325,1.9373810291290283,0.7700689435005188,0.863813042640686,0.6507468819618225,0.9585301280021667,0.9585301280021667,0.0,0.840133786201477,0.8609392642974854,0.8304798603057861,1.722664713859558
15_DB00184_P36544,15,DB00184,P36544,-0.707836389541626,0.6794794201850891,-1.276362657546997,0.9997532963752747,-0.13931012153625488,0.3592055141925812,0.8296429514884949,0.752589225769043,0.9545058012008667,0.9545058012008667,0.0,0.7984272241592407,0.8148449063301086,0.9660918712615967,1.205876111984253
16_DB00184_P43681,16,DB00184,P43681,-1.1392614841461182,0.811432957649231,-1.4323105812072754,0.9676368236541748,-0.8462124466896057,0.6552290320396423,0.7239044904708862,0.6278668642044067,0.9490647912025452,0.9490647912025452,0.0,0.6676144003868103,0.7145102024078369,1.9549928903579712,1.5149136781692505
17_DB00184_Q9GZZ6,17,DB00184,Q9GZZ6,-0.5964038372039795,0.6900061368942261,-0.9820013046264648,0.984754204750061,-0.21080642938613892,0.3952580690383911,0.8374456763267517,0.7100340127944946,0.9187842011451721,0.9187842011451721,0.0,0.8171109557151794,0.8182092905044556,0.7208320498466492,1.8297128677368164
18_DB00184_Q9UGM1,18,DB00184,Q9UGM1,-1.2372814416885376,0.8900607228279114,-1.2647278308868408,0.9993502497673035,-1.2098350524902344,0.7807711958885193,0.8225417137145996,0.7369207143783569,0.9312072396278381,0.9312072396278381,0.0,0.7953753471374512,0.7961376905441284,0.7625105977058411,1.9531038999557495
21_DB00184_P32297,21,DB00184,P32297,-0.8509833216667175,0.7115181684494019,-1.527269959449768,0.997948944568634,-0.1746966689825058,0.4250873327255249,0.8104404807090759,0.6939722299575806,0.9268363118171692,0.9268363118171692,0.0,0.7813414931297302,0.7941249012947083,0.894535481929779,1.4469716548919678
22_DB00184_Q05901,22,DB00184,Q05901,-0.12041004747152328,0.5662670135498047,-0.16426792740821838,0.8502910137176514,-0.07655216753482819,0.282243013381958,0.8260130882263184,0.7468658089637756,0.8431078791618347,0.8431078791618347,0.0,0.8217394351959229,0.7544673085212708,0.6712928414344788,3.3582265377044678
23_DB00184_Q15825,23,DB00184,Q15825,-0.9975073337554932,0.8043814301490784,-1.2292858362197876,0.9973053932189941,-0.7657288908958435,0.6114574670791626,0.7849631905555725,0.6978929042816162,0.910331666469574,0.910331666469574,0.0,0.7536210417747498,0.776056170463562,0.9564920663833618,1.7662042379379272
26_P11229_DB00185,26,DB00185,P11229,1.0334277153015137,0.7787206172943115,0.5897166132926941,0.6984328031539917,1.477138876914978,0.8590084910392761,0.7375650405883789,0.7618980407714844,0.9890729784965515,0.9890729784965515,0.0,0.6746880412101746,0.7727689743041992,1.2893086671829224,0.664263904094696
27_P20309_DB00185,27,DB00185,P20309,0.6714794635772705,0.8244794607162476,0.5895977020263672,0.7659378051757812,0.753361165523529,0.8830210566520691,0.7102417349815369,0.673466145992279,0.9733150601387024,0.9733150601387024,0.0,0.6444733738899231,0.7130134701728821,1.8423858880996704,1.18069326877594
30_P14867_DB00186,30,DB00186,P14867,-0.13015687465667725,0.510116457939148,-1.1060054302215576,0.7875553369522095,0.8456916809082031,0.23267762362957,0.8114042282104492,0.7412726283073425,0.897116482257843,0.897116482257843,0.0,0.789976179599762,0.7816755175590515,0.9963797926902771,3.09238338470459
33_P28472_DB00186,33,DB00186,P28472,0.3346218168735504,0.5832085609436035,-0.27415943145751953,0.7992299199104309,0.9434030652046204,0.3671872019767761,0.796669602394104,0.6718307733535767,0.8452647924423218,0.8452647924423218,0.0,0.7845208048820496,0.5928688049316406,1.2940874099731445,4.408334255218506
37_P47870_DB00186,37,DB00186,P47870,0.4701395034790039,0.5780080556869507,-0.16548465192317963,0.7922412753105164,1.1057636737823486,0.363774836063385,0.7552617192268372,0.6467850208282471,0.8553867936134338,0.8553867936134338,0.0,0.730230450630188,0.5661072134971619,1.415994644165039,4.29917573928833
44_P20711_DB00190,44,DB00190,P20711,1.1310787200927734,0.590122640132904,0.4115854799747467,0.6931425929069519,1.8505719900131226,0.4871026873588562,0.9567627310752869,0.9605981111526489,0.9756457805633545,0.9756457805633545,0.0,0.9520418643951416,0.9364683032035828,0.34428972005844116,0.7381001114845276
46_P11485_DB00198,46,DB00198,P11485,-0.1429581344127655,0.685806393623352,-0.7192474007606506,0.8038414716720581,0.43333113193511963,0.567771315574646,0.8804694414138794,0.8771880865097046,0.9774892926216125,0.9774892926216125,0.0,0.8562144637107849,0.8999478816986084,0.734706461429596,0.7516667246818542
56_P30542_DB00201,56,DB00201,P30542,1.8526235818862915,0.5547589063644409,1.6440117359161377,0.49032020568847656,2.0612354278564453,0.61919766664505,0.9460544586181641,0.9386830925941467,0.9714125394821167,0.9714125394821167,0.0,0.9397149682044983,0.9297474026679993,0.31838634610176086,0.484855979681015
57_P29274_DB00201,57,DB00201,P29274,1.316164255142212,0.6571968197822571,1.4243580102920532,0.6367440223693848,1.2079706192016602,0.6776496171951294,0.8376262784004211,0.8186621069908142,0.9713369011878967,0.9713369011878967,0.0,0.8041985630989075,0.8646820783615112,1.2159398794174194,0.582784116268158
88_P0DMS8_DB00201,88,DB00201,P0DMS8,1.6424022912979126,0.5968660116195679,1.6463193893432617,0.5202534198760986,1.6384851932525635,0.6734785437583923,0.9187966585159302,0.9260632395744324,0.9665908217430115,0.9665908217430115,0.0,0.906848132610321,0.8982776999473572,0.40060555934906006,0.557440459728241
89_P29275_DB00201,89,DB00201,P29275,1.600271224975586,0.649815022945404,1.6129562854766846,0.6019330024719238,1.5875860452651978,0.6976970434188843,0.9098647236824036,0.8993910551071167,0.9578480124473572,0.9578480124473572,0.0,0.8978689312934875,0.9046640992164612,0.5321752429008484,0.5916069149971008
90_P08172_DB00202,90,DB00202,P08172,-0.45262637734413147,0.8091003894805908,-1.1113169193267822,0.9224839806556702,0.2060641497373581,0.6957167983055115,0.7209122180938721,0.7003053426742554,0.9393372535705566,0.9393372535705566,0.0,0.6663059592247009,0.7674548029899597,1.7661669254302979,1.180943250656128
91_P20309_DB00202,91,DB00202,P20309,-0.322697252035141,0.8085814714431763,-0.7746249437332153,0.9149696230888367,0.12923042476177216,0.7021933197975159,0.6994535326957703,0.6116552352905273,0.8689776062965393,0.8689776062965393,0.0,0.6570725440979004,0.6857452392578125,2.158787965774536,2.4628090858459473
97_P43681_DB00202,97,DB00202,P43681,-0.24701063334941864,0.556607723236084,-0.500818133354187,0.8247883319854736,0.006796874105930328,0.28842705488204956,0.6549669504165649,0.5913850665092468,0.681722104549408,0.681722104549408,0.0,0.6482781171798706,0.6624249815940857,2.2343432903289795,6.935445308685303
100_Q15825_DB00202,100,DB00202,Q15825,0.1430618017911911,0.5837756395339966,-0.2995515763759613,0.846576988697052,0.5856751799583435,0.32097429037094116,0.7273338437080383,0.6563863754272461,0.7095862030982971,0.7095862030982971,0.0,0.7317707538604736,0.6767836809158325,1.1958879232406616,4.674959182739258
101_Q9GZZ6_DB00202,101,DB00202,Q9GZZ6,0.031200528144836426,0.5269354581832886,-0.7182928323745728,0.8564443588256836,0.7806938886642456,0.19742661714553833,0.794222891330719,0.7049719095230103,0.7645744681358337,0.7645744681358337,0.0,0.8016349673271179,0.7033053636550903,0.8539865612983704,3.6657392978668213
102_Q9UGM1_DB00202,102,DB00202,Q9UGM1,-0.38048672676086426,0.5617991089820862,-0.41683003306388855,0.8117748498916626,-0.34414342045783997,0.3118233382701874,0.7743763327598572,0.6892068982124329,0.7353804111480713,0.7353804111480713,0.0,0.7841252684593201,0.7398857474327087,1.013940691947937,4.687928199768066
105_P11229_DB00209,105,DB00209,P11229,-2.6912341117858887,0.9772541522979736,-3.0925498008728027,0.9841374158859253,-2.2899184226989746,0.970370888710022,0.7386497259140015,0.7533243894577026,0.9755558371543884,0.9755558371543884,0.0,0.6794231534004211,0.7876815795898438,1.343903660774231,0.8854702115058899
106_P20309_DB00209,106,DB00209,P20309,-2.444084882736206,0.9689239859580994,-2.8840579986572266,0.9913628101348877,-2.0041117668151855,0.946485161781311,0.7087984085083008,0.6517594456672668,0.9693130254745483,0.9693130254745483,0.0,0.6436697244644165,0.7744839787483215,1.9570502042770386,1.0980632305145264
107_O60603_DB00210,107,DB00210,O60603,-0.08126600086688995,0.5944696664810181,0.12895792722702026,0.7068955898284912,-0.29148992896080017,0.4820438027381897,0.88738614320755,0.7360568046569824,0.9350767135620117,0.9350767135620117,0.0,0.8754635453224182,0.8397080898284912,0.6035094857215881,1.5812617540359497
109_P10276_DB00210,109,DB00210,P10276,-1.632690191268921,0.9595457911491394,-2.5128135681152344,0.9737464189529419,-0.7525668144226074,0.9453451633453369,0.7924498915672302,0.6291393637657166,0.9883586764335632,0.9883586764335632,0.0,0.743472695350647,0.8638008832931519,1.6519325971603394,0.6059078574180603
110_P10826_DB00210,110,DB00210,P10826,-1.9222412109375,0.9693830013275146,-2.7561511993408203,0.9875220656394958,-1.0883313417434692,0.9512439966201782,0.780855119228363,0.6112424731254578,0.9870813488960266,0.9870813488960266,0.0,0.7292985320091248,0.8694537878036499,1.5937005281448364,0.617274284362793
111_P13631_DB00210,111,DB00210,P13631,-1.872560739517212,0.9673643112182617,-2.0345377922058105,0.978209376335144,-1.7105835676193237,0.9565192461013794,0.808535099029541,0.6808192729949951,0.9879879355430603,0.9879879355430603,0.0,0.7636719346046448,0.8719748854637146,1.3370449542999268,0.5565249919891357
113_P19793_DB00210,113,DB00210,P19793,0.4066532850265503,0.6221184730529785,0.5723549723625183,0.7676393985748291,0.2409515678882599,0.4765976071357727,0.676988422870636,0.590596079826355,0.9231323003768921,0.9231323003768921,0.0,0.6154524683952332,0.6515670418739319,2.1912972927093506,2.5078961849212646
114_P28702_DB00210,114,DB00210,P28702,0.43326449394226074,0.5726261138916016,0.6270950436592102,0.6619548797607422,0.23943397402763367,0.4832973778247833,0.6358359456062317,0.5250799059867859,0.932064414024353,0.932064414024353,0.0,0.5617787837982178,0.6271646618843079,2.7348341941833496,2.6412370204925537
115_P48443_DB00210,115,DB00210,P48443,0.019365713000297546,0.5666577816009521,-0.18746811151504517,0.5994037985801697,0.22619953751564026,0.5339117646217346,0.6746816039085388,0.5943620800971985,0.9458467364311218,0.9458467364311218,0.0,0.6068903207778931,0.6729249358177185,2.03922176361084,1.710158109664917
116_P35348_DB00211,116,DB00211,P35348,-0.32898369431495667,0.7310085296630859,-0.046932753175497055,0.7262596487998962,-0.611034631729126,0.7357574105262756,0.7569553256034851,0.7415583729743958,0.9799068570137024,0.9799068570137024,0.0,0.7012174129486084,0.8193220496177673,1.2863019704818726,0.7432699799537659
117_P35368_DB00211,117,DB00211,P35368,-0.04145171493291855,0.6591870784759521,0.07546931505203247,0.6930451989173889,-0.15837274491786957,0.6253289580345154,0.7077372074127197,0.6611974239349365,0.9802327752113342,0.9802327752113342,0.0,0.6396133303642273,0.793329656124115,2.0273284912109375,0.6638636589050293
118_P25100_DB00211,118,DB00211,P25100,0.11844927817583084,0.5611209869384766,0.06866414844989777,0.6039829254150391,0.16823440790176392,0.5182591080665588,0.6601211428642273,0.6299343109130859,0.9760593771934509,0.9760593771934509,0.0,0.5811365842819214,0.7329950928688049,2.4171245098114014,0.8434963226318359
123_P31645_DB00215,123,DB00215,P31645,-2.182549238204956,0.9433785080909729,-2.4050068855285645,0.9964408278465271,-1.9600917100906372,0.8903161883354187,0.8992690443992615,0.9659891128540039,0.9849879741668701,0.9849879741668701,0.0,0.8778392672538757,0.9236036539077759,0.3514833152294159,0.5880762338638306
124_P35367_DB00215,124,DB00215,P35367,-2.232451915740967,0.9570332765579224,-2.2657413482666016,0.9943529367446899,-2.199162721633911,0.91971355676651,0.7105496525764465,0.724714457988739,0.9841375946998596,0.9841375946998596,0.0,0.6421526670455933,0.7968939542770386,1.4757663011550903,0.5619342923164368
125_P08913_DB00217,125,DB00217,P08913,0.3938857316970825,0.7383002638816833,0.04199402779340744,0.7958298921585083,0.745777428150177,0.6807706356048584,0.7340652346611023,0.6901606917381287,0.9604457020759583,0.9604457020759583,0.0,0.6774700880050659,0.7905874848365784,1.9105327129364014,0.9579312801361084
