ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
1,"Peptidoglycan D,D-transpeptidase FtsI",ftsI,1574687,L42023,P45059,FTSI_HAEIN,,,,,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),DB00303
2,Histidine decarboxylase,HDC,32109,X54297,P19113,DCHS_HUMAN,4E1O; 7EIW; 7EIX; 7EIY,HDC,HDC,HGNC:4855,Humans,DB00114; DB00117; DB06666; DB19565
3,"Glutaminase liver isoform, mitochondrial",GLS2,6650606,AF110330,Q9UI32,GLSL_HUMAN,4BQM; 5U0K; 8SZL; 8T0Z,GLS2,GLS2,HGNC:29570,Humans,DB00142; DB15232
4,Coagulation factor XIII A chain,F13A1,182309,M22001,P00488,F13A_HUMAN,1EVU; 1EX0; 1F13; 1FIE; 1GGT; 1GGU; 1GGY; 1QRK; 4KTY; 5MHL; 5MHM; 5MHN; 5MHO; 8CMT; 8CMU,F13A1,F13A1,HGNC:3531,Humans,DB02340; DB11300; DB11311; DB11571; DB13151
5,"Nitric oxide synthase, inducible",NOS2,292242,L09210,P35228,NOS2_HUMAN,1NSI; 2LL6; 2NSI; 3E7G; 3EJ8; 3HR4; 4CX7; 4NOS; 5TP6; 5XN3; 6JWM; 6JWN; 6KEY,NOS2,NOS2A,HGNC:7873,Humans,DB00125; DB00155; DB00244; DB01017; DB01110; DB01234; DB01381; DB01686; DB01835; DB01997; DB02044; DB02207; DB02234; DB02335; DB02462; DB02644; DB03100; DB03144; DB03305; DB03366; DB03449; DB03910; DB03953; DB04400; DB04534; DB05214; DB05252; DB05383; DB05631; DB06879; DB06916; DB07002; DB07003; DB07007; DB07008; DB07011; DB07029; DB07306; DB07318; DB07388; DB07389; DB07405; DB08214; DB08750; DB08814; DB09237; DB11327; DB11672; DB12237; DB12648; DB12651; DB14649; DB18267; DB20033
6,17-beta-hydroxysteroid dehydrogenase type 2,HSD17B2,306462,L11708,P37059,DHB2_HUMAN,,HSD17B2,HSD17B2,HGNC:5211,Humans,DB00157; DB13952; DB13953; DB13954; DB13955; DB13956
7,"Glycogen phosphorylase, liver form",PYGL,183353,M14636,P06737,PYGL_HUMAN,1EM6; 1EXV; 1FA9; 1FC0; 1L5Q; 1L5R; 1L5S; 1L7X; 1XOI; 2ATI; 2QLL; 2ZB2; 3CEH; 3CEJ; 3CEM; 3DD1; 3DDS; 3DDW; 8EMS,PYGL,PYGL,HGNC:9725,Humans,DB00114; DB00131; DB02089; DB02320; DB02379; DB03288; DB03496; DB03744; DB04522; DB05044; DB07315; DB07395; DB07396; DB07968; DB08844
8,"NAD(P) transhydrogenase, mitochondrial",NNT,1110520,U40490,Q13423,NNTM_HUMAN,1DJL; 1PT9; 1U31,NNT,NNT,HGNC:7863,Humans,DB00157; DB01763; DB03461; DB09092
9,Alcohol dehydrogenase class-3,ADH5,178134,M30471,P11766,ADHX_HUMAN,1M6H; 1M6W; 1MA0; 1MC5; 1MP0; 1TEH; 2FZE; 2FZW; 3QJ5; 8GV3,ADH5,ADH5,HGNC:253,Humans,DB00157; DB03017; DB03704; DB04153
10,"Aminomethyltransferase, mitochondrial",AMT,391721,D13811,P48728,GCST_HUMAN,1WSR; 1WSV,AMT,AMT,HGNC:473,Humans,DB00116; DB00157; DB04789
11,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",IDH3A,706839,U07681,P50213,IDH3A_HUMAN,5GRE; 5GRF; 5GRH; 5GRI; 5GRL; 5YVT; 6KDE; 6KDF; 6KDY; 6KE3; 6L57; 6L59; 7CE3; 8GRB; 8GRD; 8GRG; 8GRH; 8GRU; 8GS5,IDH3A,IDH3A,HGNC:5384,Humans,DB00157; DB06757; DB09092; DB09130; DB13874; DB17097
